,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams
1810,Lil Tjay,Beat the Odds,Columbia,G#/Ab,Minor,4 beats,0.498,0.625,0.342,0.054,0.0,0.175,0.478,-7.452,84.821,150000,2,14198518
1811,juan karlos,ERE,Universal Music Philippines Inc.,G,Major,4 beats,0.48,0.571,0.042,0.526,0.000213,0.232,0.257,-7.818,146.051,284812,3,30087242
1812,"P!nk, Khalid",Hurts 2B Human (feat. Khalid),RCA Records Label,G,Major,1,0.463,0.62,0.167,0.131,0.0,0.0619,0.158,-5.647,83.031,202640,2,9168690
1813,Lauv,Getting Over You,Lauv,C,Major,4 beats,0.604,0.507,0.0382,0.273,2.27e-06,0.0943,0.114,-7.928,91.984,255886,5,22217051
1814,Juice WRLD,Flaws And Sins,Grade A Productions/Interscope Records,G#/Ab,Major,4 beats,0.709,0.662,0.0766,0.00966,0.0,0.108,0.439,-4.55,150.046,218349,1,5247633
1815,Avicii,Broken Arrows,Universal Music AB,G,Major,4 beats,0.634,0.674,0.0465,0.0487,0.00116,0.102,0.298,-7.145,115.995,232760,1,5843204
1816,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,F,Minor,4 beats,0.849,0.424,0.324,0.0635,0.0,0.0834,0.153,-9.579,145.887,242966,35,324393523
1817,The Weeknd,Until I Bleed Out,Republic Records,C,Minor,3 beats,0.245,0.394,0.0374,0.423,2.9e-05,0.093,0.148,-9.887,115.233,190173,1,9132077
1818,Anne-Marie,2002,Atlantic Records UK,C#/Db,Minor,4 beats,0.697,0.683,0.117,0.0372,0.0,0.137,0.603,-2.881,96.133,186987,87,463107479
1819,Dean Lewis,7 Minutes,Universal Music Australia Pty. Ltd.,A#/Bb,Major,4 beats,0.613,0.739,0.0311,0.526,0.0,0.149,0.712,-6.478,104.966,211453,3,14238113
1820,"Noah Cyrus, Labrinth",Make Me (Cry),"Records Label, LLC",C,Major,4 beats,0.588,0.471,0.0577,0.592,0.00146,0.0733,0.209,-7.287,152.881,242081,12,66606732
1821,Taylor Swift,Clean (Taylor's Version),Taylor Swift,E,Major,4 beats,0.771,0.386,0.0297,0.276,2.01e-05,0.121,0.239,-8.917,103.96,271000,2,28936583
1822,"Gorillaz, DRAM",Andromeda (feat. DRAM),Parlophone UK,C,Major,4 beats,0.788,0.472,0.0475,0.003,0.0322,0.59,0.257,-9.021,130.084,197547,2,7988525
1823,"Selena Gomez, 6LACK",Crowded Room (feat. 6LACK),Interscope Records,G,Minor,4 beats,0.724,0.415,0.0518,0.764,2.51e-06,0.103,0.328,-8.408,89.999,186459,1,6483001
1824,"Post Malone, Halsey, Future",Die For Me (feat. Future & Halsey),Republic Records,C,Major,4 beats,0.614,0.66,0.0441,0.19,0.0,0.211,0.452,-2.848,145.01,245267,8,55544475
1825,Khalid,New Normal,"Right Hand Music Group, LLC/RCA Records",C,Major,4 beats,0.39,0.534,0.0709,0.0807,0.0,0.184,0.244,-9.575,92.047,198765,1,5768653
1826,"Mike Perry, shy martin",The Ocean (feat. Shy Martin),DF Records,F,Major,4 beats,0.632,0.575,0.029,0.0225,1.81e-06,0.104,0.188,-6.478,90.037,183414,9,37831593
1827,"KHEA, Bad Bunny, Duki, Cazzu",Loca - Remix,Rimas Entertainment LLC,G#/Ab,Major,4 beats,0.795,0.751,0.0675,0.337,0.0,0.0983,0.537,-3.661,113.033,346460,4,16442779
1828,SZA,Blind,Top Dawg Entertainment/RCA Records,A,Minor,4 beats,0.461,0.279,0.0373,0.911,0.0,0.205,0.599,-11.776,114.225,150720,7,74844996
1829,Rita Ora,Only Want You,Atlantic Records UK,F#/Gb,Minor,4 beats,0.654,0.528,0.0412,0.0599,7.14e-05,0.0975,0.376,-6.224,82.014,180760,1,4997446
1830,Dhruv,double take,Little Worry/RCA Records,G#/Ab,Major,4 beats,0.654,0.434,0.0665,0.837,0.0,0.216,0.223,-11.163,109.069,171743,15,105223696
1831,BLACKPINK,DDU-DU DDU-DU,"2018 YG Entertainment, distributed through Interscope Records",E,Minor,4 beats,0.665,0.86,0.0761,0.0322,0.0,0.281,0.372,-3.921,139.973,209355,10,40125107
1832,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,B,Minor,4 beats,0.66,0.817,0.0521,0.162,0.0,0.0667,0.714,-6.269,135.942,277592,5,37103911
1833,"J Balvin, Khalid",Otra Noche Sin Ti,"Sueños Globales, LLC",C,Minor,4 beats,0.503,0.548,0.164,0.0751,0.000234,0.145,0.441,-7.564,94.036,228920,4,28536016
1834,"Future, Rihanna",Selfish (feat. Rihanna),Epic/Freebandz/A1,G#/Ab,Major,4 beats,0.415,0.369,0.0741,0.0303,7.64e-06,0.383,0.0913,-10.044,95.746,251423,18,123121561
1835,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,F,Major,4 beats,0.865,0.573,0.0678,0.0863,0.0,0.305,0.563,-5.501,94.999,155960,54,624439950
1836,Bad Bunny,BENDICIONES,Rimas Entertainment LLC,B,Major,4 beats,0.828,0.581,0.0725,0.0378,0.0,0.103,0.843,-9.909,143.995,155060,2,11734889
1837,Beyoncé,Halo,Music World Music/Columbia,B,Minor,4 beats,0.422,0.712,0.1,0.273,0.0,0.051,0.471,-5.907,78.454,261160,18,71351519
1838,"Curtis Waters, Harm Franklin",Stunnin' (feat. Harm Franklin) (Explicit),BMG Rights Management (US) LLC,B,Minor,4 beats,0.885,0.685,0.0627,0.33,0.0,0.148,0.937,-6.429,99.954,144000,16,115243842
1839,"Nicki Minaj, Lil Wayne",Rich Sex (feat. Lil Wayne),Young Money/Cash Money Records,A,Major,4 beats,0.879,0.635,0.259,0.0517,0.0,0.0786,0.568,-5.098,146.97,192600,1,4199291
1840,"21 Savage, Metro Boomin",My Choppa Hate Niggas,"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",C,Minor,4 beats,0.862,0.274,0.416,0.0974,0.185,0.183,0.154,-5.818,77.492,148640,1,4219006
1841,J Balvin,Reggaeton,UMLE - Latino,E,Minor,4 beats,0.747,0.74,0.191,0.0165,9.94e-05,0.101,0.552,-4.325,176.059,158800,23,149283116
1842,The Weeknd,Less Than Zero,XO / Republic Records,C,Major,4 beats,0.535,0.791,0.0327,0.00096,0.000155,0.0788,0.5,-5.55,142.981,211814,3,28957091
1843,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,G#/Ab,Major,4 beats,0.756,0.697,0.0401,0.182,0.0,0.333,0.956,-6.377,94.996,206071,41,491633142
1844,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,Rimas Entertainment LLC,D,Major,4 beats,0.607,0.829,0.379,0.0103,0.0,0.107,0.685,-4.074,96.172,295177,39,405534381
1845,Alan Walker,The Spectre,Kreatell Music,C#/Db,Minor,4 beats,0.654,0.711,0.0383,0.0214,0.00191,0.0903,0.198,-7.437,127.957,193788,4,13709297
1846,"G-Eazy, A$AP Rocky, Cardi B",No Limit,BPG/RVG/RCA Records,C#/Db,Major,4 beats,0.838,0.771,0.244,0.0117,0.0,0.0853,0.405,-3.791,175.957,245387,30,160485880
1847,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,C#/Db,Minor,4 beats,0.8,0.658,0.079,0.25,0.0,0.111,0.462,-6.142,140.042,195429,5,52415980
1848,"Joyner Lucas, J. Cole",Your Heart,Twenty Nine Music Group,F#/Gb,Minor,4 beats,0.861,0.637,0.133,0.392,0.0,0.0929,0.754,-7.701,87.006,198621,2,12781969
1849,Panic! At The Disco,House of Memories,Decaydance/Fueled By Ramen,B,Minor,4 beats,0.506,0.817,0.0335,0.00272,0.0,0.0486,0.506,-5.051,109.952,208707,18,140474129
1850,"Bad Bunny, Gabriela",EN CASITA,Rimas Entertainment LLC,C,Major,4 beats,0.779,0.764,0.0938,0.221,0.000669,0.0909,0.675,-8.217,158.093,176440,1,5364262
1851,P!nk,Beautiful Trauma,RCA Records Label,G,Major,4 beats,0.412,0.619,0.0723,0.0868,2.55e-06,0.4,0.234,-6.39,95.943,250053,1,3909916
1852,Lil Wayne,Open Letter,"Young Money Records, Inc.",A,Minor,4 beats,0.765,0.55,0.357,0.0283,0.0,0.139,0.361,-6.299,97.004,269287,1,8298060
1853,Adele,My Little Love,Columbia,C#/Db,Major,4 beats,0.339,0.492,0.0559,0.829,0.00377,0.147,0.102,-10.661,151.865,389107,3,37508246
1854,"6ix9ine, Nicki Minaj, Murda Beatz",FEFE (feat. Nicki Minaj & Murda Beatz),"ScumGang Records / TenThousand Projects, LLC",C#/Db,Major,4 beats,0.931,0.387,0.412,0.088,0.0,0.136,0.376,-9.127,125.978,179405,20,338336204
1855,KAROL G,Punto G,UMLE - Latino,F#/Gb,Major,4 beats,0.791,0.746,0.0907,0.00938,0.000117,0.125,0.905,-4.716,165.994,183160,3,14520988
1856,Tate McRae,feel like shit,RCA Records Label,G,Major,4 beats,0.508,0.378,0.0473,0.516,0.0,0.119,0.161,-7.158,144.962,204315,3,19541560
1857,"KYLE, Lil Yachty",iSpy (feat. Lil Yachty),independently popular.,G,Major,4 beats,0.746,0.653,0.289,0.378,0.0,0.229,0.672,-6.745,75.016,253107,48,365725976
1858,"Mau y Ricky, Camilo, Lunay",La Boca - Remix,Sony Music Latin,B,Minor,4 beats,0.691,0.773,0.0355,0.236,0.0,0.329,0.85,-3.812,92.992,188468,9,45255270
1859,Taylor Swift,Never Grow Up (Taylor's Version),Taylor Swift,D,Major,4 beats,0.685,0.323,0.0289,0.851,0.0,0.198,0.569,-7.103,125.058,292920,1,13030078
1860,"ScHoolboy Q, Travis Scott",CHopstix (feat. Travis Scott),Top Dawg Entertainment/Interscope Records,A,Minor,4 beats,0.958,0.597,0.111,0.0457,0.0,0.138,0.619,-7.092,127.931,180453,3,6317461
1861,Rihanna,Only Girl (In The World),Def Jam Recordings,B,Minor,4 beats,0.789,0.706,0.0429,0.112,1.71e-05,0.0586,0.638,-4.233,125.911,235493,2,18052303
1862,Lil Uzi Vert,Futsal Shuffle 2020,Generation Now/Atlantic,G,Minor,4 beats,0.881,0.457,0.156,0.0327,0.0,0.231,0.296,-8.191,136.97,198913,12,119905873
1863,Taylor Swift,the last great american dynasty,Taylor Swift,G,Major,4 beats,0.686,0.662,0.0413,0.467,0.0023,0.109,0.706,-8.505,147.922,230999,5,50961614
1864,Juice WRLD,Make It Back,Epic/Freebandz/Grade A/Interscope,C#/Db,Minor,4 beats,0.75,0.387,0.487,0.122,0.0,0.0993,0.739,-10.123,143.019,102560,1,4026639
1865,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,G#/Ab,Major,4 beats,0.589,0.472,0.0502,0.614,0.0,0.505,0.898,-8.749,67.196,126267,44,811051899
1866,Danny Ocean,Dembow,Atlantic Records,F#/Gb,Major,4 beats,0.802,0.744,0.078,0.0807,0.0,0.0917,0.45,-5.968,99.983,215083,29,169357751
1867,Drake,Hotline Bling,Cash Money Records/Young Money Ent./Universal Rec.,D,Major,4 beats,0.903,0.62,0.0587,0.00347,0.000119,0.0504,0.539,-8.094,134.96,267067,7,20984841
1868,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,C#/Db,Major,4 beats,0.916,0.583,0.241,0.186,0.0,0.0798,0.661,-8.067,141.095,226383,33,553546418
1869,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999,Capitol Records,G#/Ab,Major,3 beats,0.262,0.137,0.0344,0.913,6.74e-06,0.267,0.288,-15.235,92.183,206600,3,28940780
1870,Wham!,Last Christmas,Epic,D,Major,4 beats,0.735,0.478,0.0293,0.189,2.48e-06,0.355,0.947,-12.472,107.682,262960,42,853300418
1871,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,F,Minor,4 beats,0.635,0.706,0.125,0.256,0.0,0.108,0.443,-3.224,88.863,209160,25,233123126
1872,21 Savage,monster,"Slaughter Gang, LLC/Epic Records",A,Minor,4 beats,0.89,0.607,0.124,0.158,0.000228,0.118,0.224,-6.916,134.022,233040,7,53806382
1873,BTS,Telepathy,BIGHIT MUSIC,F,Minor,4 beats,0.787,0.669,0.0428,0.00782,0.0,0.123,0.57,-4.333,104.994,202313,2,23500396
1874,TWICE,FANCY,Republic Records - TWICE,F,Minor,4 beats,0.697,0.874,0.045,0.0122,0.0,0.627,0.775,-2.15,132.022,213886,2,10605793
1875,Imagine Dragons,Natural,Kid Ina Korner / Interscope,D,Major,4 beats,0.704,0.611,0.0409,0.217,0.0,0.0812,0.22,-6.112,100.0,189467,47,212100771
1876,ROSALÍA,SAOKO,Columbia,C,Major,4 beats,0.827,0.768,0.265,0.79,2.45e-05,0.497,0.734,-5.702,99.988,137533,4,19665045
1877,Kendrick Lamar,N95,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,C#/Db,Major,4 beats,0.79,0.67,0.105,0.377,2.32e-06,0.119,0.408,-5.527,139.956,195950,3,70306137
1878,"Pop Smoke, Quavo, Future",Snitching (feat. Quavo & Future),Victor Victor Worldwide,G#/Ab,Major,4 beats,0.944,0.579,0.191,0.0381,0.0,0.253,0.769,-4.961,135.033,259346,1,6102253
1879,"Kygo, Maty Noyes",Stay (feat. Maty Noyes),Kygo,G#/Ab,Major,4 beats,0.648,0.736,0.0385,0.0444,0.000137,0.171,0.378,-7.948,103.027,239465,1,2598170
1880,21 Savage,all of me,"Slaughter Gang, LLC/Epic Records",F,Minor,4 beats,0.653,0.805,0.304,0.12,1.17e-05,0.842,0.791,-5.708,159.947,198293,2,23466160
1881,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Columbia,F#/Gb,Minor,4 beats,0.794,0.811,0.038,0.0426,1.07e-06,0.101,0.862,-8.966,116.047,248413,3,16582399
1882,"DaBaby, Lil Baby, Moneybagg Yo",TOES (feat. Lil Baby & Moneybagg Yo),South Coast Music Group/Interscope Records,G#/Ab,Major,4 beats,0.816,0.582,0.341,0.0794,5.84e-06,0.0916,0.542,-4.141,160.004,136366,13,91378150
1883,Billie Eilish,bad guy,Darkroom/Interscope Records,G,Major,4 beats,0.701,0.425,0.375,0.328,0.13,0.1,0.562,-10.965,135.128,194088,135,1900912195
1884,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up in the Sky,Guwop Enterprises/Atlantic,E,Minor,4 beats,0.8,0.578,0.0485,0.00381,0.0,0.367,0.367,-5.144,143.01,203161,37,193989109
1885,Drake,In My Feelings,Cash Money/Drake LP6,C#/Db,Major,4 beats,0.835,0.626,0.125,0.0589,6e-05,0.396,0.35,-5.833,91.03,217925,52,709056539
1886,SZA,Low,Top Dawg Entertainment/RCA Records,C,Minor,4 beats,0.698,0.546,0.0559,0.425,0.00314,0.16,0.335,-7.234,145.044,181080,17,180450037
1887,"Seeb, Dagny",Drink About,Universal Music AS,F#/Gb,Major,4 beats,0.624,0.745,0.0628,0.144,0.0,0.257,0.493,-2.936,99.971,182265,5,21901856
1888,Cardi B,Money,Atlantic/KSR,G#/Ab,Minor,4 beats,0.95,0.59,0.29,0.00534,0.0,0.11,0.219,-6.508,130.003,183527,24,171754414
1889,Kanye West,New Again,Rock The World/IDJ/Kanye LP7,F#/Gb,Minor,4 beats,0.679,0.673,0.189,0.066,0.0,0.479,0.295,-5.17,91.112,183297,1,10030218
1890,New West,Those Eyes,Republic Records,E,Major,3 beats,0.597,0.351,0.0281,0.727,3.86e-05,0.319,0.243,-8.043,119.948,220750,1,7596355
1891,The Weeknd,How Do I Make You Love Me?,XO / Republic Records,G,Minor,4 beats,0.805,0.498,0.0737,0.0203,2.37e-05,0.085,0.636,-7.927,121.006,214215,2,26786834
1892,BØRNS,Electric Love,UMGRI Interscope,F#/Gb,Minor,4 beats,0.611,0.797,0.0533,0.00543,0.00137,0.26,0.518,-7.627,120.041,218107,26,164467829
1893,"Malu, DJ Lucas Beat",Disco Arranhado - Funk Remix,Universal Music Ltda.,D,Minor,4 beats,0.747,0.725,0.363,0.551,0.0,0.0626,0.904,-2.564,129.96,125558,10,62421023
1894,"Offset, Travis Scott",SAY MY GRACE (feat. Travis Scott),Motown Records,A#/Bb,Major,4 beats,0.773,0.635,0.0452,0.0585,0.0,0.132,0.476,-5.06,121.879,173253,1,10736180
1895,"Kygo, Ellie Goulding",First Time,Kygo,C,Minor,4 beats,0.633,0.592,0.112,0.197,0.0,0.099,0.679,-7.245,90.066,193511,25,212723886
1896,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",DALE PLAY Records,C#/Db,Minor,4 beats,0.656,0.823,0.315,0.47,0.0,0.103,0.755,-3.059,96.474,160000,24,170468423
1897,"Metro Boomin, 21 Savage",Don't Come Out The House (with 21 Savage),Republic Records,C#/Db,Major,4 beats,0.87,0.35,0.277,0.00661,0.000483,0.108,0.175,-6.082,74.963,168347,4,10814496
1898,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,Grade A Productions/Interscope Records,A,Minor,3 beats,0.396,0.373,0.0989,0.991,0.0978,0.545,0.526,-14.097,125.231,30583,1,6682917
1899,Marília Mendonça,Ciumeira - Ao Vivo,Som Livre,B,Minor,4 beats,0.741,0.813,0.0452,0.204,0.0,0.797,0.765,-4.83,123.842,190084,3,12590620
1900,XXXTENTACION,Depression & Obsession,Bad Vibes Forever / EMPIRE,B,Minor,4 beats,0.769,0.156,0.035,0.585,0.015,0.102,0.527,-10.7,105.95,144733,5,23528909
1901,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,B,Major,4 beats,0.551,0.537,0.034,0.705,0.0,0.0802,0.493,-7.595,126.421,196493,41,53052661
1902,Pashanim,Sommergewitter,Urban,B,Minor,4 beats,0.787,0.531,0.101,0.132,0.00094,0.112,0.721,-10.569,91.996,138533,4,24830530
1903,Mason Ramsey,Famous,Atlantic/Big Loud Records,F,Major,4 beats,0.534,0.815,0.0278,0.708,0.0,0.111,0.564,-2.815,159.848,192520,2,12863766
1904,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,B,Major,4 beats,0.79,0.831,0.044,0.312,0.0,0.0797,0.872,-4.185,124.987,183551,35,426117643
1905,Drake,Champagne Poetry,OVO,F#/Gb,Minor,4 beats,0.423,0.667,0.326,0.758,0.0,0.246,0.496,-7.012,86.743,336511,5,69389306
1906,Ghost,Mary On A Cross,Loma Vista Recordings,B,Major,4 beats,0.466,0.9,0.0447,0.000235,0.00104,0.103,0.561,-4.469,130.02,244804,4,40734926
1907,iñigo quintero,Si No Estás,Acqustic,F,Major,4 beats,0.537,0.421,0.0285,0.827,0.0,0.138,0.524,-8.72,98.224,184061,25,541163031
1908,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,G,Major,4 beats,0.716,0.531,0.122,0.0703,0.0,0.224,0.344,-7.355,71.994,386907,49,411018135
1909,Arctic Monkeys,American Sports,Domino Recording Co,G,Minor,3 beats,0.372,0.865,0.0513,0.00169,0.00293,0.127,0.594,-4.288,176.689,158040,1,5238316
1910,"Lil Uzi Vert, Travis Scott",Aye (feat. Travis Scott),Generation Now/Atlantic,A,Minor,4 beats,0.777,0.604,0.0397,0.000713,5.64e-05,0.151,0.121,-4.452,111.998,207836,1,10392685
1911,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,G,Minor,4 beats,0.684,0.671,0.0464,0.189,2.37e-05,0.122,0.156,-4.392,88.048,199920,51,461538435
1912,"Doja Cat, Young Thug",Payday (feat. Young Thug),Kemosabe Records/RCA Records,C#/Db,Major,4 beats,0.619,0.707,0.0499,0.0366,7.54e-05,0.13,0.558,-5.791,168.995,212947,1,5393789
1913,Luke Christopher,Lot to Learn,ByStorm Entertainment/RCA Records,F#/Gb,Major,4 beats,0.422,0.852,0.208,0.0845,0.0,0.0687,0.666,-3.546,82.914,248387,13,65589960
1914,"KIDS SEE GHOSTS, Yasiin Bey",Kids See Ghosts,"Getting Out Our Dreams, Inc./Def Jam Recordings",D,Major,4 beats,0.841,0.682,0.0458,0.113,9.65e-05,0.131,0.338,-7.007,94.985,245098,1,7882877
1915,"Amenazzy, Nicky Jam, Farruko",Baby,Rimas Music,B,Major,4 beats,0.7,0.71,0.0532,0.327,0.0,0.129,0.582,-4.835,167.971,235973,6,28584706
1916,Ava Max,Who's Laughing Now,Atlantic Records,G,Major,4 beats,0.648,0.641,0.0389,0.00565,3.63e-06,0.109,0.505,-5.521,184.021,180348,1,4526982
1917,"Luan Santana, Ana Castela",DEJA VU,Sony Music Entertainment,G#/Ab,Major,4 beats,0.572,0.573,0.0596,0.195,0.0,0.0897,0.468,-6.028,141.935,199827,5,50817926
1918,"Peso Pluma, Edgardo Nuñez, Los Dareyes De La Sierra",VVS,Double P Records,G,Major,3 beats,0.632,0.729,0.112,0.414,0.0,0.0987,0.862,-3.066,110.238,162676,1,11328963
1919,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,F,Major,4 beats,0.868,0.538,0.174,0.269,3.34e-06,0.0901,0.732,-8.603,99.968,231750,7,269079205
1920,Demi Lovato,I Love Me,Island Records,F#/Gb,Major,4 beats,0.664,0.561,0.0495,0.00261,0.0,0.0764,0.713,-7.031,150.093,203672,5,38619943
1921,Ariana Grande,six thirty,Republic Records,C,Major,4 beats,0.739,0.516,0.0539,0.67,0.0,0.151,0.434,-7.154,120.109,183874,1,10941573
1922,The Chainsmokers,Sick Boy,Disruptor Records/Columbia,B,Minor,4 beats,0.548,0.58,0.121,0.104,0.0,0.127,0.462,-7.524,180.066,193893,8,54010687
1923,Frank Ocean,DHL,Blonded,E,Minor,4 beats,0.819,0.458,0.167,0.582,0.173,0.128,0.232,-10.223,122.981,268893,1,5531463
1924,Harry Styles,Cherry,Columbia,G,Major,4 beats,0.53,0.512,0.0259,0.615,0.00453,0.129,0.411,-9.261,95.946,259187,1,11371850
1925,"Meek Mill, Drake",Going Bad (feat. Drake),MMG/Atlantic,E,Minor,4 beats,0.889,0.496,0.0905,0.259,0.0,0.252,0.544,-6.365,86.003,180522,56,522394456
1926,Shakin' Stevens,Merry Christmas Everyone,Sony Music CG,A,Major,4 beats,0.541,0.909,0.0358,0.128,0.0,0.128,0.962,-3.101,203.862,220160,9,55044655
1927,"Internet Money, Gunna, Don Toliver, Lil Uzi Vert",His & Hers (feat. Don Toliver & Lil Uzi Vert),Internet Money / 10K Projects,G,Minor,4 beats,0.792,0.707,0.0623,0.116,0.0,0.12,0.408,-5.218,134.997,224042,5,26894046
1928,Migos,Modern Day,Quality Control Music/Motown Records,B,Minor,4 beats,0.87,0.629,0.279,0.173,0.0,0.101,0.512,-7.598,134.944,241790,1,5322745
1929,Joji,Tick Tock,88rising Music,E,Minor,4 beats,0.781,0.613,0.0524,0.0399,0.00713,0.0976,0.613,-5.582,80.53,132215,1,5547939
1930,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,F,Minor,4 beats,0.532,0.642,0.111,0.0548,0.000246,0.0991,0.536,-4.891,193.016,232187,7,57792279
1931,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,GR6 Music,A#/Bb,Minor,5 beats,0.782,0.631,0.592,0.123,0.0,0.0808,0.866,-8.473,113.427,641941,17,164239151
1932,Gunna,One Call,300 Entertainment,D,Major,4 beats,0.861,0.481,0.343,0.125,1.38e-05,0.0903,0.188,-7.309,146.992,195736,1,5757160
1933,Trio Vegabajeño,CANTARES DE NAVIDAD,Rimas Entertainment LLC,D,Major,4 beats,0.764,0.523,0.0406,0.777,0.0,0.352,0.962,-7.371,118.671,199720,1,5842320
1934,Kendrick Lamar,Crown,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,C#/Db,Minor,4 beats,0.355,0.245,0.0358,0.801,9.11e-05,0.112,0.162,-13.475,173.329,264299,1,12654671
1935,Post Malone,A Thousand Bad Times,Republic Records,F#/Gb,Major,4 beats,0.632,0.732,0.092,0.105,1.15e-05,0.111,0.317,-3.498,159.0,221173,5,29285571
1936,TWICE,SCIENTIST,Republic Records - TWICE,B,Major,4 beats,0.786,0.858,0.0675,0.0487,0.0,0.126,0.649,-3.74,112.999,194600,1,5630331
1937,"Steve Aoki, BTS",Waste It On Me (feat. BTS),"Ultra Records, LLC",G,Major,4 beats,0.669,0.684,0.0585,0.252,0.0,0.72,0.466,-4.595,96.097,192537,6,25287275
1938,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,A,Major,4 beats,0.468,0.779,0.0779,0.112,0.000373,0.101,0.26,-4.839,173.799,217747,74,553335810
1939,ROSALÍA,SAOKO,Columbia,C,Major,4 beats,0.827,0.768,0.265,0.79,2.45e-05,0.497,0.734,-5.702,99.988,137533,1,7803386
1940,"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),YG Entertainment/Interscope Records,A,Major,4 beats,0.79,0.729,0.334,0.0342,9.31e-05,0.0411,0.904,-3.843,159.989,175813,5,94168111
1941,Brent Faiyaz,Clouded,Lost Kids,D,Major,3 beats,0.583,0.344,0.0559,0.774,0.0,0.143,0.581,-8.765,65.203,110129,1,8070143
1942,Bad Bunny,Yonaguni,Rimas Entertainment LLC,C#/Db,Major,4 beats,0.644,0.648,0.118,0.276,0.0,0.135,0.44,-4.601,179.951,206710,83,1098151668
1943,"Curtis Waters, Harm Franklin",Stunnin' (feat. Harm Franklin) (Explicit),BMG Rights Management (US) LLC,B,Minor,4 beats,0.885,0.685,0.0627,0.33,0.0,0.148,0.937,-6.429,99.954,144000,18,10678057
1944,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,A#/Bb,Major,4 beats,0.582,0.937,0.0858,0.449,0.0,0.684,0.939,-2.118,168.096,166838,10,50406513
1945,The Chainsmokers,Sick Boy,Disruptor Records/Columbia,B,Minor,4 beats,0.548,0.58,0.121,0.104,0.0,0.127,0.462,-7.524,180.066,193893,13,42931721
1946,Juice WRLD,Feeling,Grade A Productions/Interscope Records,A#/Bb,Minor,4 beats,0.712,0.515,0.0857,0.234,0.0,0.205,0.563,-6.004,160.0,201920,1,5015425
1947,Ed Sheeran,Tides,Atlantic Records UK,B,Major,3 beats,0.631,0.825,0.0433,0.0167,0.0,0.122,0.427,-3.971,129.942,195760,1,7476184
1948,"Alesso, TINI",Sad Song (feat. TINI),10:22 pm,C,Major,4 beats,0.734,0.693,0.0361,0.0878,0.0,0.341,0.55,-6.474,110.021,154024,1,4612123
1949,Lukas Graham,Love Someone,Warner Records,A,Minor,4 beats,0.55,0.415,0.052,0.161,0.0,0.108,0.274,-6.557,172.065,205463,7,46069786
1950,J. Cole,MIDDLE CHILD,"Dreamville, Inc., Under exclusive license to Roc Nation Records",G#/Ab,Major,4 beats,0.837,0.364,0.276,0.149,0.0,0.271,0.463,-11.713,123.984,213594,55,510789619
1951,Hozier,Eat Your Young,Universal-Island Records Ltd.,F,Major,4 beats,0.553,0.587,0.0277,0.345,0.1,0.256,0.346,-6.829,90.018,242293,2,22192237
1952,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,"Sueños Globales, LLC",D#/Eb,Minor,4 beats,0.813,0.81,0.0809,0.112,1.59e-06,0.377,0.632,-5.382,93.005,392867,17,31437862
1953,ROSALÍA,Milionària,Columbia,G#/Ab,Major,4 beats,0.857,0.574,0.416,0.602,1.24e-06,0.0663,0.906,-6.441,116.008,138371,1,4923311
